series_id        	year	period	       value	footnote_codes
JTS00000000TSL   	2011	M06	        4168	
JTS00000000TSL   	2011	M07	        4180	
JTS00000000TSL   	2011	M08	        4189	
JTS00000000TSL   	2011	M09	        4213	
JTS00000000TSL   	2011	M10	        4147	
JTS00000000TSL   	2011	M11	        4237	
JTS00000000TSL   	2011	M12	        4090	
JTS00000000TSL   	2012	M01	        4195	
JTS00000000TSL   	2012	M02	        4322	
JTS00000000TSL   	2012	M03	        4257	
JTS00000000TSL   	2012	M04	        4329	
JTS00000000TSL   	2012	M05	        4430	
JTS00000000TSL   	2012	M06	        4383	
JTS00000000TSL   	2012	M07	        4178	
JTS00000000TSL   	2012	M08	        4338	
JTS00000000TSL   	2012	M09	        4100	
JTS00000000TSL   	2012	M10	        4260	
JTS00000000TSL   	2012	M11	        4303	
JTS00000000TSL   	2012	M12	        4117	
JTS00000000TSL   	2013	M01	        4381	
JTS00000000TSL   	2013	M02	        4257	
JTS00000000TSL   	2013	M03	        4215	
JTS00000000TSL   	2013	M04	        4424	
JTS00000000TSL   	2013	M05	        4433	
JTS00000000TSL   	2013	M06	        4313	
JTS00000000TSL   	2013	M07	        4459	
JTS00000000TSL   	2013	M08	        4522	
JTS00000000TSL   	2013	M09	        4521	
JTS00000000TSL   	2013	M10	        4354	
JTS00000000TSL   	2013	M11	        4332	
JTS00000000TSL   	2013	M12	        4387	
JTS00000000TSL   	2014	M01	        4464	
JTS00000000TSL   	2014	M02	        4511	
JTS00000000TSL   	2014	M03	        4498	
JTS00000000TSL   	2014	M04	        4584	
JTS00000000TSL   	2014	M05	        4569	
JTS00000000TSL   	2014	M06	        4617	
JTS00000000TSL   	2014	M07	        4786	
JTS00000000TSL   	2014	M08	        4654	
JTS00000000TSL   	2014	M09	        4861	
JTS00000000TSL   	2014	M10	        4941	
JTS00000000TSL   	2014	M11	        4642	
JTS00000000TSL   	2014	M12	        4815	
JTS00000000TSL   	2015	M01	        4911	
JTS00000000TSL   	2015	M02	        4828	
JTS00000000TSL   	2015	M03	        5064	
JTS00000000TSL   	2015	M04	        4942	
JTS00000000TSL   	2015	M05	        4826	
JTS00000000TSL   	2015	M06	        4992	
JTS00000000TSL   	2015	M07	        4887	
JTS00000000TSL   	2015	M08	        5055	
JTS00000000TSL   	2015	M09	        5114	
JTS00000000TSL   	2015	M10	        5032	
JTS00000000TSL   	2015	M11	        5052	
JTS00000000TSL   	2015	M12	        5208	
JTS00000000TSL   	2016	M01	        5144	
JTS00000000TSL   	2016	M02	        5282	
JTS00000000TSL   	2016	M03	        5140	
JTS00000000TSL   	2016	M04	        5122	
JTS00000000TSL   	2016	M05	        5137	
JTS00000000TSL   	2016	M06	        5061	
JTS00000000TSL   	2016	M07	        5114	
JTS00000000TSL   	2016	M08	        5188	
JTS00000000TSL   	2016	M09	        4988	
JTS00000000TSL   	2016	M10	        5098	
JTS00000000TSL   	2016	M11	        5114	
JTS00000000TSL   	2016	M12	        5087	
JTS00000000TSL   	2017	M01	        5338	
JTS00000000TSL   	2017	M02	        5141	
JTS00000000TSL   	2017	M03	        5254	
JTS00000000TSL   	2017	M04	        5101	
JTS00000000TSL   	2017	M05	        5280	
JTS00000000TSL   	2017	M06	        5457	
JTS00000000TSL   	2017	M07	        5351	
JTS00000000TSL   	2017	M08	        5368	
JTS00000000TSL   	2017	M09	        5334	
JTS00000000TSL   	2017	M10	        5347	
JTS00000000TSL   	2017	M11	        5221	
JTS00000000TSL   	2017	M12	        5265	
JTS00000000TSL   	2018	M01	        5346	
JTS00000000TSL   	2018	M02	        5276	
JTS00000000TSL   	2018	M03	        5475	
JTS00000000TSL   	2018	M04	        5449	
JTS00000000TSL   	2018	M05	        5513	
JTS00000000TSL   	2018	M06	        5558	
JTS00000000TSL   	2018	M07	        5579	
JTS00000000TSL   	2018	M08	        5568	
JTS00000000TSL   	2018	M09	        5517	
JTS00000000TSL   	2018	M10	        5638	
JTS00000000TSL   	2018	M11	        5692	
JTS00000000TSL   	2018	M12	        5569	
JTS00000000TSL   	2019	M01	        5590	
JTS00000000TSL   	2019	M02	        5676	
JTS00000000TSL   	2019	M03	        5553	
JTS00000000TSL   	2019	M04	        5763	
JTS00000000TSL   	2019	M05	        5547	
JTS00000000TSL   	2019	M06	        5568	
JTS00000000TSL   	2019	M07	        5769	
JTS00000000TSL   	2019	M08	        5660	
JTS00000000TSL   	2019	M09	        5739	
JTS00000000TSL   	2019	M10	        5580	
JTS00000000TSL   	2019	M11	        5657	
JTS00000000TSL   	2019	M12	        5762	
JTS00000000TSL   	2020	M01	        5713	C
JTS00000000TSL   	2020	M02	        5595	
JTS00000000TSL   	2020	M03	       14643	
JTS00000000TSL   	2020	M04	        9975	
JTS00000000TSL   	2020	M05	        4236	
JTS00000000TSL   	2020	M06	        4758	P
JTS00000000TSR   	2000	M12	         3.9	
JTS00000000TSR   	2001	M01	         4.5	
JTS00000000TSR   	2001	M02	         3.9	
JTS00000000TSR   	2001	M03	         4.2	
JTS00000000TSR   	2001	M04	         4.1	
JTS00000000TSR   	2001	M05	         4.1	
JTS00000000TSR   	2001	M06	         4.0	
JTS00000000TSR   	2001	M07	         4.1	
JTS00000000TSR   	2001	M08	         4.1	
JTS00000000TSR   	2001	M09	         3.9	
JTS00000000TSR   	2001	M10	         4.2	
JTS00000000TSR   	2001	M11	         3.9	
JTS00000000TSR   	2001	M12	         3.7	
JTS00000000TSR   	2002	M01	         4.0	
JTS00000000TSR   	2002	M02	         3.7	
JTS00000000TSR   	2002	M03	         3.6	
JTS00000000TSR   	2002	M04	         3.8	
JTS00000000TSR   	2002	M05	         3.7	
JTS00000000TSR   	2002	M06	         3.7	
JTS00000000TSR   	2002	M07	         3.9	
JTS00000000TSR   	2002	M08	         3.7	
JTS00000000TSR   	2002	M09	         3.8	
JTS00000000TSR   	2002	M10	         3.6	
JTS00000000TSR   	2002	M11	         3.6	
JTS00000000TSR   	2002	M12	         3.8	
JTS00000000TSR   	2003	M01	         3.9	
JTS00000000TSR   	2003	M02	         3.7	
JTS00000000TSR   	2003	M03	         3.6	
JTS00000000TSR   	2003	M04	         3.6	
JTS00000000TSR   	2003	M05	         3.6	
JTS00000000TSR   	2003	M06	         3.6	
JTS00000000TSR   	2003	M07	         3.6	
JTS00000000TSR   	2003	M08	         3.6	
JTS00000000TSR   	2003	M09	         3.6	
JTS00000000TSR   	2003	M10	         3.6	
JTS00000000TSR   	2003	M11	         3.6	
JTS00000000TSR   	2003	M12	         3.7	
JTS00000000TSR   	2004	M01	         3.7	
JTS00000000TSR   	2004	M02	         3.6	
JTS00000000TSR   	2004	M03	         3.8	
JTS00000000TSR   	2004	M04	         3.7	
JTS00000000TSR   	2004	M05	         3.6	
JTS00000000TSR   	2004	M06	         3.7	
JTS00000000TSR   	2004	M07	         3.7	
JTS00000000TSR   	2004	M08	         3.7	
JTS00000000TSR   	2004	M09	         3.7	
JTS00000000TSR   	2004	M10	         3.6	
JTS00000000TSR   	2004	M11	         3.9	
JTS00000000TSR   	2004	M12	         3.7	
JTS00000000TSR   	2005	M01	         3.8	
JTS00000000TSR   	2005	M02	         3.8	
JTS00000000TSR   	2005	M03	         3.9	
JTS00000000TSR   	2005	M04	         3.8	
JTS00000000TSR   	2005	M05	         3.8	
JTS00000000TSR   	2005	M06	         3.8	
JTS00000000TSR   	2005	M07	         3.7	
JTS00000000TSR   	2005	M08	         3.9	
JTS00000000TSR   	2005	M09	         4.0	
JTS00000000TSR   	2005	M10	         3.8	
JTS00000000TSR   	2005	M11	         3.7	
JTS00000000TSR   	2005	M12	         3.8	
JTS00000000TSR   	2006	M01	         3.8	
JTS00000000TSR   	2006	M02	         3.8	
JTS00000000TSR   	2006	M03	         3.8	
JTS00000000TSR   	2006	M04	         3.7	
JTS00000000TSR   	2006	M05	         4.0	
JTS00000000TSR   	2006	M06	         3.9	
JTS00000000TSR   	2006	M07	         3.9	
JTS00000000TSR   	2006	M08	         3.8	
JTS00000000TSR   	2006	M09	         3.7	
JTS00000000TSR   	2006	M10	         3.9	
JTS00000000TSR   	2006	M11	         3.9	
JTS00000000TSR   	2006	M12	         3.7	
JTS00000000TSR   	2007	M01	         3.9	
JTS00000000TSR   	2007	M02	         3.7	
JTS00000000TSR   	2007	M03	         3.8	
JTS00000000TSR   	2007	M04	         3.8	
JTS00000000TSR   	2007	M05	         3.8	
JTS00000000TSR   	2007	M06	         3.7	
JTS00000000TSR   	2007	M07	         3.8	
JTS00000000TSR   	2007	M08	         3.9	
JTS00000000TSR   	2007	M09	         3.8	
JTS00000000TSR   	2007	M10	         3.8	
JTS00000000TSR   	2007	M11	         3.7	
JTS00000000TSR   	2007	M12	         3.6	
JTS00000000TSR   	2008	M01	         3.8	
JTS00000000TSR   	2008	M02	         3.7	
JTS00000000TSR   	2008	M03	         3.6	
JTS00000000TSR   	2008	M04	         3.8	
JTS00000000TSR   	2008	M05	         3.5	
JTS00000000TSR   	2008	M06	         3.7	
JTS00000000TSR   	2008	M07	         3.5	
JTS00000000TSR   	2008	M08	         3.7	
JTS00000000TSR   	2008	M09	         3.6	
JTS00000000TSR   	2008	M10	         3.7	
JTS00000000TSR   	2008	M11	         3.5	
JTS00000000TSR   	2008	M12	         3.6	
JTS00000000TSR   	2009	M01	         3.7	
JTS00000000TSR   	2009	M02	         3.6	
JTS00000000TSR   	2009	M03	         3.5	
JTS00000000TSR   	2009	M04	         3.6	
JTS00000000TSR   	2009	M05	         3.2	
JTS00000000TSR   	2009	M06	         3.2	
JTS00000000TSR   	2009	M07	         3.3	
JTS00000000TSR   	2009	M08	         3.1	
JTS00000000TSR   	2009	M09	         3.2	
JTS00000000TSR   	2009	M10	         3.1	
JTS00000000TSR   	2009	M11	         3.1	
JTS00000000TSR   	2009	M12	         3.2	
JTS00000000TSR   	2010	M01	         3.1	
JTS00000000TSR   	2010	M02	         3.1	
JTS00000000TSR   	2010	M03	         3.1	
JTS00000000TSR   	2010	M04	         3.0	
JTS00000000TSR   	2010	M05	         3.0	
JTS00000000TSR   	2010	M06	         3.3	
JTS00000000TSR   	2010	M07	         3.3	
JTS00000000TSR   	2010	M08	         3.1	
JTS00000000TSR   	2010	M09	         3.1	
JTS00000000TSR   	2010	M10	         3.0	
JTS00000000TSR   	2010	M11	         3.1	
JTS00000000TSR   	2010	M12	         3.2	
JTS00000000TSR   	2011	M01	         3.1	
JTS00000000TSR   	2011	M02	         3.1	
JTS00000000TSR   	2011	M03	         3.1	
JTS00000000TSR   	2011	M04	         3.0	
JTS00000000TSR   	2011	M05	         3.2	
JTS00000000TSR   	2011	M06	         3.2	
JTS00000000TSR   	2011	M07	         3.2	
JTS00000000TSR   	2011	M08	         3.2	
JTS00000000TSR   	2011	M09	         3.2	
JTS00000000TSR   	2011	M10	         3.1	
JTS00000000TSR   	2011	M11	         3.2	
JTS00000000TSR   	2011	M12	         3.1	
JTS00000000TSR   	2012	M01	         3.1	
JTS00000000TSR   	2012	M02	         3.2	
JTS00000000TSR   	2012	M03	         3.2	
JTS00000000TSR   	2012	M04	         3.2	
JTS00000000TSR   	2012	M05	         3.3	
JTS00000000TSR   	2012	M06	         3.3	
JTS00000000TSR   	2012	M07	         3.1	
JTS00000000TSR   	2012	M08	         3.2	
JTS00000000TSR   	2012	M09	         3.0	
JTS00000000TSR   	2012	M10	         3.2	
JTS00000000TSR   	2012	M11	         3.2	
JTS00000000TSR   	2012	M12	         3.0	
